iter	Passed	Remaining
413	3568	9360
414	3577	9353
415	3583	9337
416	3587	9316
417	3596	9308
418	3604	9299
419	3612	9290
420	3621	9281
421	3629	9271
422	3637	9262
423	3646	9253
424	3654	9244
425	3663	9236
426	3672	9227
427	3682	9223
428	3690	9214
429	3699	9206
430	3708	9197
431	3717	9189
432	3726	9182
433	3735	9176
434	3743	9165
435	3752	9156
436	3760	9147
437	3768	9138
438	3778	9131
439	3787	9124
440	3796	9117
441	3806	9110
442	3814	9101
443	3823	9094
444	3833	9087
445	3842	9080
446	3850	9071
447	3859	9063
448	3868	9056
449	3877	9046
450	3885	9038
451	3894	9029
452	3902	9020
453	3905	8997
454	3914	8990
455	3922	8981
456	3931	8972
457	3939	8961
458	3943	8943
459	3952	8937
460	3961	8929
461	3970	8921
462	3979	8912
463	3988	8905
464	3999	8901
465	4007	8892
466	4016	8883
467	4025	8875
468	4031	8861
469	4039	8852
470	4048	8845
471	4057	8836
472	4065	8826
473	4073	8817
474	4081	8808
475	4091	8800
476	4096	8786
477	4104	8775
478	4114	8769
479	4123	8762
480	4132	8754
481	4147	8758
482	4155	8750
483	4165	8744
484	4176	8740
485	4183	8727
486	4193	8722
487	4203	8716
488	4218	8721
489	4230	8720
490	4241	8716
491	4252	8711
492	4261	8705
493	4271	8698
494	4282	8695
495	4293	8690
496	4306	8691
497	4318	8688
498	4331	8689
499	4343	8687
500	4353	8680
501	4363	8674
502	4372	8667
503	4380	8656
504	4389	8648
505	4398	8640
506	4405	8628
507	4414	8620
508	4423	8611
509	4431	8602
510	4440	8594
511	4448	8583
512	4456	8574
513	4465	8565
514	4467	8545
515	4477	8538
516	4486	8531
517	4496	8524
518	4506	8518
519	4514	8508
520	4523	8500
521	4533	8493
522	4541	8484
523	4550	8475
524	4559	8467
525	4569	8460
526	4578	8453
527	4587	8445
528	4597	8439
529	4608	8433
530	4617	8426
531	4626	8418
532	4635	8409
533	4643	8400
534	4654	8395
535	4663	8387
536	4673	8380
537	4683	8374
538	4694	8369
539	4698	8352
540	4708	8346
541	4722	8346
542	4733	8341
543	4744	8337
544	4754	8331
545	4764	8324
546	4774	8318
547	4785	8313
548	4796	8309
549	4809	8306
550	4812	8288
551	4822	8282
552	4834	8278
553	4845	8273
554	4855	8267
555	4864	8259
556	4870	8245
557	4881	8241
558	4884	8222
559	4895	8216
560	4908	8215
561	4919	8211
562	4932	8208
563	4937	8193
564	4946	8185
565	4958	8182
566	4970	8179
567	4980	8172
568	4983	8154
569	4992	8145
570	5002	8139
571	5013	8133
572	5022	8125
573	5030	8114
574	5038	8105
575	5049	8099
576	5059	8092
577	5070	8089
578	5087	8092
579	5099	8088
580	5110	8083
581	5121	8077
582	5134	8075
583	5152	8082
584	5174	8093
585	5186	8089
586	5198	8085
587	5203	8071
588	5207	8054
589	5220	8052
590	5231	8046
591	5243	8041
592	5254	8037
593	5266	8033
594	5278	8028
595	5290	8024
596	5302	8020
597	5315	8018
598	5329	8016
599	5341	8012
600	5354	8009
601	5366	8004
602	5375	7996
603	5380	7980
604	5390	7973
605	5398	7964
606	5409	7958
607	5419	7950
608	5429	7943
609	5435	7930
610	5446	7923
611	5456	7917
612	5465	7908
613	5475	7900
614	5484	7892
615	5496	7887
616	5506	7880
617	5516	7872
618	5525	7864
619	5533	7854
620	5542	7845
621	5552	7837
622	5562	7830
623	5570	7819
624	5580	7812
625	5591	7807
626	5607	7808
627	5621	7806
628	5628	7794
629	5640	7789
630	5650	7781
631	5664	7779
632	5680	7779
633	5697	7782
634	5711	7780
635	5725	7777
636	5736	7772
637	5748	7766
638	5758	7759
639	5766	7748
640	5775	7740
641	5784	7731
642	5795	7724
643	5805	7716
644	5813	7706
645	5822	7697
646	5831	7688
647	5840	7679
648	5848	7669
649	5856	7658
650	5866	7650
651	5875	7641
652	5884	7632
653	5893	7623
654	5902	7614
655	5910	7603
656	5918	7594
657	5927	7585
658	5936	7576
659	5946	7567
660	5954	7558
661	5963	7548
662	5971	7538
663	5979	7528
664	5987	7518
665	5997	7509
666	6005	7499
667	6013	7489
668	6022	7480
669	6032	7473
670	6042	7464
671	6052	7457
672	6063	7451
673	6074	7444
674	6083	7435
675	6094	7428
676	6107	7424
677	6115	7414
678	6124	7405
679	6133	7396
680	6141	7386
681	6150	7377
682	6159	7368
683	6170	7361
684	6180	7352
685	6190	7346
686	6202	7339
687	6212	7331
688	6222	7324
689	6233	7317
690	6243	7309
691	6253	7301
692	6263	7293
693	6272	7284
694	6281	7275
695	6289	7265
696	6297	7255
697	6307	7246
698	6315	7236
699	6324	7227
700	6333	7218
701	6342	7209
702	6350	7200
703	6360	7191
704	6369	7182
705	6377	7172
706	6386	7162
707	6395	7154
708	6405	7146
709	6413	7136
710	6423	7127
711	6431	7118
712	6440	7108
713	6448	7098
714	6456	7088
715	6465	7079
716	6474	7070
717	6483	7061
718	6491	7051
719	6500	7041
720	6509	7032
721	6517	7023
722	6526	7013
723	6534	7003
724	6543	6994
725	6551	6985
726	6561	6976
727	6570	6967
728	6579	6958
729	6588	6949
730	6597	6940
731	6606	6931
732	6614	6921
733	6623	6912
734	6632	6902
735	6640	6892
736	6649	6884
737	6658	6874
738	6667	6866
739	6675	6856
740	6680	6842
741	6689	6833
742	6698	6824
743	6708	6816
744	6717	6807
745	6725	6797
746	6733	6787
747	6742	6779
748	6750	6768
749	6758	6758
750	6767	6749
751	6775	6739
752	6785	6731
753	6794	6722
754	6802	6712
755	6810	6702
756	6819	6692
757	6826	6682
758	6835	6673
759	6844	6664
760	6852	6654
761	6861	6645
762	6869	6635
763	6877	6625
764	6885	6615
765	6893	6605
766	6901	6595
767	6909	6586
768	6918	6576
769	6927	6567
770	6935	6558
771	6944	6548
772	6951	6538
773	6960	6529
774	6969	6519
775	6977	6510
776	6986	6501
777	6996	6492
778	7005	6484
779	7014	6474
780	7023	6465
781	7032	6456
782	7040	6447
783	7048	6437
784	7057	6428
785	7064	6417
786	7073	6407
787	7081	6398
788	7089	6388
789	7096	6377
790	7105	6368
791	7114	6359
792	7122	6350
793	7131	6341
794	7141	6332
795	7149	6323
796	7159	6314
797	7168	6306
798	7176	6296
799	7184	6286
800	7190	6275
801	7199	6265
802	7205	6254
803	7214	6245
804	7223	6236
805	7231	6227
806	7240	6217
807	7248	6208
808	7255	6197
809	7263	6187
810	7272	6178
811	7281	6169
812	7288	6159
813	7296	6149
814	7305	6139
815	7315	6131
816	7324	6123
817	7332	6113
818	7341	6104
819	7350	6095
820	7359	6086
821	7367	6076
822	7376	6067
823	7384	6058
824	7393	6049
825	7402	6040
826	7410	6030
827	7420	6022
828	7428	6012
829	7436	6003
830	7445	5993
831	7453	5984
832	7461	5974
833	7469	5964
834	7476	5954
835	7486	5945
836	7495	5937
837	7504	5928
838	7512	5918
839	7520	5909
840	7529	5899
841	7537	5890
842	7545	5880
843	7555	5872
844	7563	5862
845	7571	5853
846	7579	5843
847	7587	5834
848	7595	5823
849	7604	5815
850	7612	5805
851	7620	5795
852	7629	5787
853	7638	5778
854	7647	5769
855	7656	5759
856	7664	5750
857	7673	5741
858	7681	5732
859	7690	5722
860	7698	5713
861	7708	5705
862	7717	5696
863	7725	5686
864	7733	5677
865	7742	5668
866	7751	5659
867	7759	5649
868	7767	5639
869	7776	5631
870	7784	5621
871	7792	5612
872	7800	5602
873	7809	5593
874	7818	5584
875	7827	5576
876	7836	5566
877	7845	5558
878	7855	5549
879	7864	5540
880	7873	5531
881	7880	5521
882	7888	5512
883	7897	5503
884	7906	5494
885	7913	5484
886	7923	5475
887	7931	5466
888	7940	5457
889	7946	5446
890	7954	5436
891	7962	5427
892	7971	5418
893	7980	5409
894	7988	5399
895	7997	5391
896	8006	5382
897	8014	5372
898	8023	5364
899	8032	5354
900	8041	5345
901	8049	5336
902	8059	5328
903	8066	5318
904	8075	5309
905	8083	5299
906	8092	5290
907	8100	5281
908	8108	5271
909	8117	5263
910	8125	5253
911	8131	5242
912	8139	5233
913	8149	5224
914	8158	5215
915	8166	5206
916	8174	5196
917	8182	5187
918	8190	5177
919	8197	5167
920	8205	5158
921	8213	5149
922	8222	5140
923	8229	5130
924	8236	5120
925	8246	5111
926	8255	5102
927	8263	5093
928	8271	5084
929	8278	5074
930	8286	5064
931	8294	5055
932	8303	5045
933	8311	5036
934	8320	5027
935	8330	5019
936	8337	5009
937	8347	5001
938	8360	4995
939	8373	4988
940	8387	4982
941	8402	4977
942	8413	4969
943	8422	4960
944	8431	4952
945	8440	4942
946	8448	4933
947	8458	4925
948	8468	4917
949	8477	4908
950	8487	4899
951	8497	4891
952	8507	4883
953	8516	4873
954	8526	4865
955	8535	4856
956	8544	4848
957	8554	4839
958	8562	4830
959	8572	4821
960	8581	4812
961	8589	4803
962	8598	4794
963	8606	4785
964	8612	4774
965	8619	4765
966	8628	4755
967	8637	4747
968	8645	4737
969	8656	4729
970	8664	4720
971	8673	4711
972	8682	4702
973	8691	4693
974	8699	4684
975	8710	4676
976	8718	4666
977	8725	4657
978	8733	4647
979	8742	4638
980	8752	4630
981	8760	4621
982	8768	4611
983	8777	4603
984	8787	4594
985	8798	4586
986	8804	4576
987	8811	4566
988	8819	4556
989	8828	4547
990	8837	4538
991	8845	4529
992	8854	4521
993	8864	4512
994	8875	4504
995	8884	4495
996	8894	4487
997	8959	4506
998	8972	4499
999	8993	4496
1000	9008	4490
1001	9016	4481
1002	9032	4475
1003	9043	4467
1004	9055	4460
1005	9066	4452
1006	9075	4443
1007	9086	4435
1008	9096	4426
1009	9104	4417
1010	9114	4408
1011	9122	4399
1012	9133	4390
1013	9142	4381
1014	9150	4372
1015	9160	4364
1016	9169	4354
1017	9178	4345
1018	9188	4337
