,price,status,add_attr,state,lat,long,bath,bed,living,lot_a,fireplace,parking,covered,garage,total_spaces,subtype,year,sewer,water,app,heating,cooling,stories,materials,roof,foundation,interior
44,880000,4,1,4,40.76686,-73.791084,2,3,2407,4642.0,1,1,1,1,1,1,1935,1,1,4,1,0,1.5,8,4,4,8
45,359000,4,1,4,40.809746,-73.80296,1,2,573,1712.0,1,1,2,2,2,1,1920,1,1,4,1,0,1.5,8,4,4,8
46,999000,4,1,4,40.72775,-73.89973,3,4,2408,4000.0,1,1,1,1,1,1,1930,1,1,4,1,1,3.0,8,4,4,8
47,1148888,4,1,4,40.793022,-73.8114,3,4,2408,5250.0,1,1,1,1,1,1,1935,1,1,4,1,1,3.0,8,4,4,8
48,998000,4,1,4,40.633404,-74.02556,2,4,1400,1800.0,1,0,2,2,2,0,1925,0,1,4,1,1,1.5,8,4,4,8
49,500000,4,1,4,40.703545,-73.76715,2,3,2408,2296.0,1,1,1,1,1,1,1925,1,1,4,1,1,1.5,8,4,4,8
50,649000,4,1,4,40.72585,-73.74373,1,3,1248,3000.0,1,1,1,1,1,1,1930,1,1,4,1,0,2.0,8,4,4,8
51,898000,4,1,4,40.757607,-73.76308,2,3,1260,3241.0,1,1,2,2,2,0,1955,0,1,4,1,0,1.5,8,4,4,8
52,1488888,4,1,4,40.596992,-74.10327,4,4,4430,7274.0,1,1,1,1,1,0,1989,1,1,4,1,1,1.5,8,4,4,8
53,319000,4,1,4,40.865185,-73.89205,2,4,2408,1924.0,1,0,2,2,2,1,1915,1,1,4,1,0,3.0,8,4,4,8
54,859999,4,1,4,40.621628,-74.12659000000001,3,3,1420,3600.0,1,1,2,2,2,1,1910,1,1,4,0,1,3.0,8,4,4,8
55,698888,4,1,4,40.742027,-73.76162,2,3,1116,2600.0,1,1,2,2,2,1,1955,1,1,4,1,0,1.5,8,4,4,8
56,899000,4,1,4,40.75823,-73.75276,4,4,2408,6000.0,1,1,2,2,2,1,1955,1,1,4,1,0,1.5,8,4,4,8
58,445000,4,1,4,40.5145,-74.24178,1,3,704,4318.0,1,1,2,2,2,1,1910,1,1,4,1,0,2.0,8,4,4,8
59,249000,4,1,4,40.70215,-73.78805,2,3,1216,2266.0,1,1,2,2,2,1,1920,1,1,4,1,0,2.0,8,4,4,8
60,690000,4,1,4,40.580864,-74.10120400000001,2,3,1430,5200.0,1,1,2,2,2,1,1940,1,1,4,1,1,2.0,8,4,4,8
61,649999,4,1,4,40.63593,-74.13377,3,5,1592,2792.0,1,1,2,2,2,1,1935,1,1,4,1,1,3.0,8,4,4,8
62,899000,4,1,4,40.7188,-73.88911,2,3,1152,2557.0,1,1,2,2,2,1,1930,0,1,4,1,1,1.5,8,4,4,8
63,539900,3,1,3,40.640625,-73.90483,4,3,1200,1500.0,1,1,1,1,1,1,2006,0,1,3,1,1,2.0,8,3,3,8
64,478000,4,1,4,40.843067,-73.81783,2,3,738,2500.0,1,1,2,2,2,1,1920,1,1,4,1,0,1.5,8,4,4,8
65,750000,4,1,4,40.678677,-73.87053,4,4,1900,2500.0,1,1,2,2,2,0,1920,1,1,4,1,1,1.5,8,4,4,8
66,655000,4,1,4,40.67813,-73.837814,2,3,1280,2500.0,1,1,1,1,1,1,1930,1,1,4,1,0,3.0,8,4,4,8
67,1098000,4,1,4,40.63136,-74.03827,3,3,1328,2600.0,1,1,2,2,2,0,1925,0,1,4,1,1,1.5,8,4,4,8
68,245000,4,1,4,40.597588,-73.77653000000001,1,3,2408,1825.0,1,1,2,2,2,1,1899,1,1,4,1,1,1.0,8,4,4,8
69,515000,4,1,4,40.878124,-73.83973,2,3,1360,8915.508140008938,1,1,2,2,2,1,1901,1,1,4,1,1,1.5,8,4,4,8
70,599999,4,1,4,40.624146,-74.13497,2,4,2268,3402.0,1,1,2,1,2,0,1920,1,1,4,1,1,1.5,8,4,4,8
71,698000,4,1,4,40.576202,-74.11861400000001,3,3,1218,4335.0,1,1,2,2,2,1,1920,1,1,4,1,0,2.0,8,4,4,8
72,1180000,4,1,4,40.77212,-73.7988,3,3,2409,4400.0,1,1,2,2,2,1,1960,1,1,4,1,1,1.5,8,4,4,8
73,739700,4,1,4,40.719,-73.870705,2,4,1358,1973.0,1,1,1,1,1,1,1940,1,1,4,1,0,3.0,8,4,4,8
74,1100000,4,1,4,40.754333,-73.89112,2,3,1928,1900.0,1,1,2,2,2,0,1945,0,1,4,1,1,1.5,8,4,4,8
75,1088888,4,1,4,40.53909,-74.18059000000001,3,4,2500,8000.0,1,1,2,2,2,1,1985,1,1,4,1,1,2.0,8,4,4,8
76,649999,4,1,4,40.612007,-74.12151,2,3,1560,3300.0,1,1,2,2,2,1,1915,1,1,4,1,1,2.0,8,4,4,8
77,639900,4,1,4,40.851257,-73.84899,3,3,1224,4469.0,1,1,1,1,1,1,1948,1,1,4,1,1,2.0,8,4,4,8
78,669999,4,1,4,40.63638,-74.12369,4,5,2700,5080.0,1,1,2,2,2,1,1910,1,1,4,1,1,2.0,8,4,4,8
79,374900,3,1,3,40.6951,-73.80393000000001,2,3,2409,3125.0,1,1,2,2,2,1,1920,1,1,3,1,0,1.5,8,3,3,8
80,399000,4,1,4,40.65281,-73.828354,1,2,800,1600.0,1,0,2,2,2,1,1930,1,1,4,1,1,2.0,8,4,4,8
81,599999,4,1,4,40.542496,-74.15686,1,4,1326,5700.0,1,1,1,1,1,1,1950,1,1,4,1,1,2.0,8,4,4,8
82,399900,4,1,4,40.831352,-73.893364,2,3,1152,2178.0,1,0,1,1,1,0,1989,0,1,4,0,0,1.5,8,4,4,8
83,959000,4,1,4,40.740307,-73.82681,3,4,1230,3484.0,1,1,2,2,2,0,1945,0,1,4,1,0,1.5,8,4,4,8
84,1298000,4,1,4,40.768047,-73.80079,3,4,2330,9988.0,1,1,2,1,2,0,1935,0,1,4,1,1,1.5,8,4,4,8
85,749000,4,1,4,40.64445,-73.95281,3,3,1376,1956.0,1,1,1,1,1,0,1901,0,1,4,1,1,1.5,8,4,4,8
86,769900,4,1,4,40.615234,-74.1301,2,3,1920,4000.0,1,1,1,1,1,1,1930,1,1,4,1,1,2.0,8,4,4,8
87,649000,4,1,4,40.55817,-74.16386,2,3,1200,2328.0,1,1,2,2,2,1,1970,1,1,4,1,1,2.0,8,4,4,8
90,879990,4,1,4,40.669197,-73.81904,3,4,2409,4000.0,1,1,2,2,2,1,1945,1,1,4,1,1,2.0,8,4,4,8
91,680000,4,1,4,40.601933,-74.07974,2,3,1442,5659.0,1,1,1,1,1,1,1935,1,1,4,1,1,2.0,8,4,4,8
92,745000,4,1,4,40.608044,-73.92855,2,3,1232,2167.0,1,1,2,2,4,0,1920,0,1,4,1,1,1.5,8,4,4,8
93,539000,4,1,4,40.552464,-74.19066,2,3,1248,4773.0,1,1,2,2,2,1,1960,1,1,4,1,1,1.0,8,4,4,8
94,699000,4,1,4,40.619240000000005,-73.92915,2,2,1221,3001.0,1,1,2,2,2,0,1920,0,1,4,1,1,1.5,8,4,4,8
95,759000,4,1,4,40.639946,-73.93070999999999,3,3,2000,2000.0,1,1,2,2,2,0,1930,0,1,4,0,1,1.5,8,4,4,8
96,524888,4,1,4,40.636574,-74.136696,2,4,1776,3500.0,1,1,1,1,1,1,1899,1,1,4,1,1,2.0,8,4,4,8
97,849000,4,1,4,40.85465,-73.85876999999999,4,5,2506,8916.158859528683,1,1,1,1,1,1,1940,1,1,4,1,0,1.5,8,4,4,8
98,235000,4,1,4,40.67981,-73.80918,2,3,2409,2500.0,1,0,2,2,2,0,1925,0,1,4,1,1,1.5,8,4,4,8
100,579999,4,1,4,40.707966,-73.74627,1,3,2409,4000.0,1,1,2,2,2,1,1935,1,1,4,1,0,2.0,8,4,4,8
101,529000,4,1,4,40.630997,-74.13608,2,3,1330,2550.0,1,1,1,1,1,1,1930,1,1,4,1,1,3.0,8,4,4,8
102,650000,4,1,4,40.56841,-74.11296,1,3,1230,4000.0,1,1,1,1,1,1,1931,1,1,4,1,1,2.0,8,4,4,8
103,768000,4,1,4,40.608765000000005,-73.94204,3,4,1632,1596.0,1,1,1,1,1,0,1950,0,1,4,1,1,1.5,8,4,4,8
104,359900,4,1,4,40.674538,-73.88838,3,3,1200,2500.0,1,0,2,2,2,1,1910,0,1,4,1,1,2.0,8,4,4,8
105,1175000,4,1,4,40.55167,-74.17924000000001,3,5,3465,8382.0,1,1,1,1,1,1,1980,1,1,4,1,1,2.0,8,4,4,8
107,649999,4,1,4,40.694485,-73.78694,2,3,2409,2500.0,1,1,2,2,2,1,1920,1,1,4,1,0,2.0,8,4,4,8
109,699000,4,1,4,40.603416,-74.08910999999999,4,3,2490,2490.0,1,1,2,2,3,1,1986,0,1,4,1,1,1.0,8,4,4,8
110,1080000,4,1,4,40.619225,-74.00924,3,3,1440,2000.0,1,1,2,1,2,1,1920,0,1,4,1,1,2.0,8,4,4,8
111,600000,4,1,4,40.58753,-73.986855,2,2,1200,1933.0,1,1,2,1,2,1,1930,0,1,4,1,1,1.5,8,4,4,8
112,649900,4,1,4,40.556057,-74.12344,3,3,1600,2300.0,1,1,2,2,2,1,1970,1,1,4,1,1,2.0,8,4,4,8
113,769999,4,1,4,40.703476,-73.742355,3,4,2410,3000.0,1,1,2,2,2,1,1930,1,1,4,1,0,1.5,8,4,4,8
114,699000,4,1,4,40.7182,-73.75366,3,3,1152,2800.0,1,1,1,1,1,1,1935,1,1,4,1,0,1.5,8,4,4,8
115,650000,4,1,4,40.612766,-73.93429,3,3,1494,1800.0,1,0,2,2,2,0,1925,0,1,4,1,1,1.5,8,4,4,8
116,979000,4,1,4,40.773357,-73.77739,2,3,2410,3840.0,1,1,2,2,2,1,1970,1,1,4,1,1,1.5,8,4,4,8
117,550000,4,1,4,40.57552,-74.09458000000001,2,3,1202,1392.0,1,1,1,1,1,1,2000,1,1,4,1,1,2.0,8,4,4,8
118,259000,4,1,4,40.818913,-73.91226,1,2,2410,8916.809626542734,1,0,2,2,2,2,1965,1,1,4,1,1,1.5,8,4,4,8
119,525000,4,1,4,40.616608,-74.147446,2,3,1252,2800.0,1,1,2,2,2,1,1930,1,1,4,1,1,2.0,8,4,4,8
120,740000,4,1,4,40.76978,-73.785515,3,6,2410,1860.0,1,1,1,1,1,1,1930,1,1,4,1,1,1.5,8,4,4,8
121,699900,4,1,4,40.90882,-73.90389,2,4,1601,1899.0,1,1,1,1,1,1,1910,1,1,4,1,0,3.0,8,4,4,8
122,579900,4,1,4,40.57436,-74.092896,3,3,2400,3500.0,1,1,2,2,2,1,2007,0,1,4,1,1,3.0,8,4,4,8
123,200000,4,1,4,40.633247,-73.89612,2,5,1056,3262.0,1,1,2,1,2,0,1905,0,1,4,1,1,1.5,8,4,4,8
124,1349000,4,1,4,40.609512,-73.90900400000001,2,5,1885,3975.0,1,1,2,2,3,1,1960,0,1,4,1,1,1.0,8,4,4,8
125,549900,4,1,4,40.612255,-74.08639000000001,2,3,1450,3105.0,1,1,2,2,2,1,1925,1,1,4,1,1,2.0,8,4,4,8
126,1700000,4,1,4,40.74723,-73.77835999999999,4,4,2580,5000.0,2,1,1,1,1,1,2005,1,1,4,1,1,1.5,8,4,4,8
127,574000,4,1,4,40.614433,-74.06583,3,3,1370,1050.0,1,1,2,2,2,1,1931,1,1,4,1,1,3.0,8,4,4,8
128,600000,4,1,4,40.59559,-74.18313,2,3,1196,5000.0,1,1,1,1,1,1,1955,1,1,4,1,1,1.0,8,4,4,8
129,699000,4,1,4,40.72815,-73.73892,3,3,1592,2700.0,1,1,2,2,2,0,1925,0,1,4,1,1,1.5,8,4,4,8
130,549777,4,1,4,40.86568,-73.85426,3,4,2106,1800.0,1,1,2,2,2,1,1950,1,1,4,1,1,3.0,8,4,4,8
131,599000,4,1,4,40.558193,-74.16705999999999,2,3,2000,2755.0,1,1,2,2,2,1,1975,1,1,4,1,1,2.0,8,4,4,8
132,999000,6,1,6,40.5593,-74.15425,4,3,2998,4000.0,1,1,2,2,2,1,2022,1,1,6,1,1,2.0,8,6,6,8
133,749000,4,1,4,40.679684,-73.80846,3,3,2410,2500.0,1,1,1,1,1,1,1935,1,1,4,1,1,1.5,8,4,4,8
134,335000,4,1,4,40.67402,-73.875336,2,4,2640,1999.0,1,0,2,2,2,0,1930,0,1,4,1,1,1.5,8,4,4,8
135,1088000,4,1,4,40.595290000000006,-73.97138000000001,2,4,1527,1640.0,1,0,2,2,2,0,1945,0,1,4,1,1,1.5,8,4,4,8
138,860000,4,1,4,40.73162,-73.73770999999999,2,4,2411,4028.0,1,1,1,1,1,1,1925,1,1,4,1,1,3.0,8,4,4,8
139,1375000,4,1,4,40.512936,-74.23321,4,4,3010,8607.0,1,1,1,1,1,1,2017,1,1,4,1,1,2.0,8,4,4,8
140,464999,4,1,4,40.590122,-74.073784,2,1,704,4000.0,1,1,1,1,1,1,1925,0,1,4,1,1,1.0,8,4,4,8
141,979000,4,1,4,40.693382,-73.772064,5,6,2411,6000.0,1,1,1,1,1,1,1930,1,1,4,1,1,3.0,8,4,4,8
142,798000,4,1,4,40.564632,-74.12571,3,3,1176,5300.0,1,1,1,1,1,1,1955,1,1,4,1,1,2.0,8,4,4,8
143,700,6,1,6,40.717358,-73.74077,1,3,2411,1740.0,1,0,2,2,2,1,1929,1,1,6,1,1,1.5,8,6,6,8
144,660000,4,1,4,40.51735,-74.2121,1,2,1242,10200.0,1,1,2,2,2,1,1945,1,1,4,1,1,1.0,8,4,4,8
145,475000,4,1,4,40.602848,-73.82046,2,3,1650,2800.0,1,0,2,2,2,1,1925,1,1,4,1,0,1.5,8,4,4,8
147,999000,4,1,4,40.656944,-73.84204,2,4,2411,4500.0,1,1,1,1,1,1,1960,1,1,4,1,1,1.5,8,4,4,8
148,349000,4,1,4,40.702274,-73.73485600000001,2,3,1144,3441.0,1,1,2,2,2,1,1940,1,1,4,1,0,2.0,8,4,4,8
149,949000,4,1,4,40.54146,-74.21656,3,4,2700,7743.0,1,1,1,1,1,1,1997,1,1,4,0,1,2.0,8,4,4,8
150,329000,4,1,4,40.7199,-73.81663,1,2,800,8917.460441054562,1,1,2,2,2,2,1949,0,1,4,1,1,1.5,8,4,4,8
151,350000,4,1,4,40.61045,-74.13285,1,3,878,3998.0,1,0,2,2,2,0,1955,0,1,4,1,1,1.5,8,4,4,8
152,1049000,4,1,4,40.91117,-73.90039,2,4,1857,4750.0,1,0,2,2,2,0,1920,0,1,4,1,0,1.5,8,4,4,8
154,259900,4,1,4,40.631947,-74.15491,1,3,1514,2584.0,1,0,2,2,2,1,1899,0,1,4,0,1,2.0,8,4,4,8
157,625000,4,1,4,40.589806,-74.18984,2,3,1196,5000.0,1,1,1,1,1,1,1956,1,1,4,1,1,1.0,8,4,4,8
158,1558000,4,1,4,40.724354,-73.874,3,5,2411,4104.0,2,1,1,1,1,1,1930,1,1,4,1,1,3.0,8,4,4,8
159,849000,4,1,4,40.66346,-73.84425,3,3,1125,5000.0,1,1,2,2,2,0,1965,0,1,4,1,1,1.5,8,4,4,8
160,699000,4,1,4,40.66969,-73.83709,3,3,2500,2500.0,1,1,3,3,3,1,1920,1,1,4,1,1,3.0,8,4,4,8
161,575000,4,1,4,40.629524,-74.10839,2,3,1360,3400.0,1,1,2,2,6,1,1930,0,1,4,1,1,1.5,8,4,4,8
162,280000,4,1,4,40.6679,-73.8466,2,2,1000,8918.11130306763,1,0,2,2,2,2,1962,1,1,4,1,1,1.5,8,4,4,8
163,1200000,4,1,4,40.621166,-73.94901,3,3,1768,2500.0,1,1,2,2,2,0,1925,0,1,4,1,1,1.5,8,4,4,8
164,479900,4,1,4,40.59753,-74.064224,1,2,648,2500.0,1,1,2,2,2,1,1920,1,1,4,1,1,1.0,8,4,4,8
165,500000,4,1,4,40.89894,-73.84857,2,3,1064,2123.0,1,1,2,2,2,0,1925,1,1,4,1,1,1.5,8,4,4,8
166,1158000,4,1,4,40.764664,-73.76361999999999,2,3,1286,7650.0,1,1,1,1,1,1,1940,1,1,4,1,1,3.0,8,4,4,8
167,825000,4,1,4,40.586163,-74.15525,3,4,2210,4000.0,1,1,2,1,2,1,1970,0,1,4,1,1,2.0,8,4,4,8
168,699999,4,1,4,40.612366,-74.06311,4,4,2352,1246.0,1,1,2,1,2,1,1997,0,1,4,0,1,2.0,8,4,4,8
169,895000,4,1,4,40.879963,-73.914406,3,4,1800,4025.0,1,1,2,2,2,0,1945,0,1,4,1,1,1.5,8,4,4,8
170,999000,4,1,4,40.764477,-73.738976,2,3,2411,4640.0,1,1,2,2,2,1,1955,1,1,4,1,1,1.5,8,4,4,8
171,1290000,4,1,4,40.760475,-73.7986,4,5,2304,5000.0,1,1,1,1,1,1,1920,0,1,4,1,1,1.5,8,4,4,8
173,599000,4,1,4,40.81649,-73.8192,2,3,2340,2500.0,1,1,2,2,2,1,1940,1,1,4,1,1,1.5,8,4,4,8
175,695000,4,1,4,40.56785,-74.13076,3,3,1260,2600.0,1,1,2,2,2,1,1970,1,1,4,1,1,2.0,8,4,4,8
176,668888,4,1,4,40.55142,-74.1355,2,3,1312,2566.0,1,1,2,2,2,1,1970,1,1,4,1,1,2.0,8,4,4,8
178,918000,4,1,4,40.592354,-74.083694,3,5,1873,4000.0,1,1,2,2,2,1,1965,1,1,4,1,1,2.0,8,4,4,8
179,250000,4,1,4,40.62981,-73.92751,1,2,850,8919.41316961136,1,0,2,2,2,2,1966,0,1,4,1,1,1.5,8,4,4,8
180,650000,4,1,4,40.864662,-73.84881,2,3,1879,2200.0,1,1,1,1,1,1,1950,1,1,4,1,1,2.0,8,4,4,8
181,799000,4,1,4,40.882126,-73.84051,2,4,2264,5662.0,1,1,2,2,3,0,1920,0,1,4,1,0,1.5,8,4,4,8
